"","Cluster","Date","total_caught"
"1",21,2015-01-13,0
"2",21,2015-12-17,1
"3",21,2015-01-13,0
"4",21,2015-06-26,0
"5",21,2016-02-17,3
"6",21,2015-12-17,0
"7",21,2015-12-17,0
"8",21,2015-01-13,0
"9",21,2015-12-17,0
"10",21,2015-06-26,1
"11",21,2016-02-17,0
"12",21,2015-01-13,0
"13",21,2016-02-17,0
"14",21,2015-12-17,0
"15",21,2015-06-26,0
"16",21,2015-12-17,1
"17",21,2015-06-26,0
"18",21,2015-01-13,0
"19",21,2016-02-17,1
"20",21,2016-02-17,0
"21",21,2015-12-17,0
"22",21,2015-06-26,0
"23",21,2015-01-13,1
"24",21,2016-02-17,0
"25",21,2015-12-17,0
"26",21,2015-06-26,0
"27",21,2016-02-17,2
"28",21,2015-06-26,0
"29",21,2015-12-17,0
"30",21,2015-01-13,0
"31",21,2015-06-26,0
"32",21,2015-01-13,1
"33",21,2015-12-17,0
"34",21,2015-01-22,0
"35",21,2015-12-17,0
"36",21,2015-07-07,1
"37",21,2016-02-17,2
"38",21,2015-06-26,0
"39",21,2015-12-21,0
"40",21,2015-01-13,0
"41",21,2015-06-26,0
"42",21,2015-12-17,0
"43",21,2016-02-18,0
"44",21,2015-01-13,0
"45",21,2015-06-26,0
"46",21,2015-01-28,1
"47",21,2015-12-17,0
"48",21,2016-02-18,0
"49",21,2015-12-17,0
"50",21,2015-07-07,2
"51",21,2016-02-18,0
"52",21,2015-01-13,2
"53",21,2015-06-26,1
"54",21,2016-02-18,0
"55",21,2015-07-07,0
"56",21,2016-02-18,0
"57",21,2015-12-17,0
"58",21,2016-02-18,0
"59",21,2015-06-26,0
"60",21,2015-12-17,0
"61",21,2015-01-13,0
"62",21,2015-01-13,1
"63",21,2015-06-26,1
"64",21,2015-12-17,0
"65",21,2016-02-18,0
"66",21,2015-01-13,0
"67",21,2016-02-18,0
"68",21,2015-12-17,0
"69",21,2015-06-26,0
"70",21,2016-02-18,0
"71",21,2015-07-07,0
"72",21,2015-12-17,0
"73",21,2015-12-17,0
"74",21,2016-02-18,0
"75",21,2015-06-26,0
"76",21,2015-01-13,2
"77",21,2016-02-18,0
"78",21,2015-12-17,0
"79",21,2015-06-26,0
"80",21,2015-01-13,0
"81",21,2016-02-18,0
"82",21,2015-12-17,0
"83",21,2015-01-13,0
"84",21,2015-06-26,0
"85",21,2016-02-18,0
"86",21,2015-12-17,0
"87",21,2015-06-26,0
"88",21,2015-01-13,0
"89",21,2015-12-17,0
"90",21,2016-02-18,0
"91",21,2015-07-13,0
"92",21,2015-01-13,1
"93",21,2015-01-23,0
"94",21,2016-02-18,0
"95",21,2015-12-17,0
"96",21,2015-06-26,0
"97",21,2015-12-21,0
"98",21,2015-06-26,0
"99",21,2016-02-23,0
"100",21,2016-02-18,0
"101",21,2015-06-26,0
"102",21,2015-12-17,0
"103",21,2015-01-13,1
"104",21,2015-06-26,0
"105",21,2015-12-17,0
"106",21,2016-02-19,0
"107",21,2015-01-13,0
"108",21,2015-06-26,0
"109",21,2015-01-16,0
"110",21,2015-12-17,0
"111",21,2016-02-19,0
"112",21,2015-06-26,0
"113",21,2015-01-13,0
"114",21,2015-01-13,0
"115",21,2016-02-19,0
"116",21,2015-06-26,0
"117",21,2015-12-17,0
"118",21,2015-12-17,0
"119",21,2015-01-13,0
"120",21,2016-02-19,0
"121",21,2015-06-26,0
"122",21,2015-06-26,0
"123",21,2015-01-13,0
"124",21,2015-12-17,0
"125",21,2016-02-19,0
"126",21,2015-12-17,0
"127",21,2016-02-19,0
"128",21,2015-06-26,0
"129",21,2015-06-26,0
"130",21,2015-12-17,0
"131",21,2015-01-13,0
"132",21,2016-02-19,0
"133",21,2015-12-17,0
"134",21,2015-06-26,0
"135",21,2015-01-13,0
"136",21,2016-02-19,0
"137",21,2015-01-13,0
"138",21,2015-12-17,0
"139",21,2015-07-07,0
"140",21,2016-02-23,0
"141",21,2015-12-17,0
"142",21,2015-06-26,1
"143",21,2015-01-13,0
"144",21,2016-02-23,2
"145",21,2015-06-26,0
"146",21,2015-12-17,1
"147",21,2016-02-19,2
"148",21,2015-01-13,30
"149",21,2015-06-30,0
"150",21,2015-01-14,0
"151",21,2016-02-19,0
"152",21,2015-12-21,0
"153",21,2016-02-19,0
"154",21,2015-01-14,0
"155",21,2015-12-21,0
"156",21,2015-01-14,3
"157",21,2015-06-30,2
"158",21,2016-02-19,0
"159",21,2015-01-14,0
"160",21,2015-12-21,0
"161",21,2015-06-30,0
"162",21,2015-01-14,0
"163",21,2015-12-21,0
"164",21,2015-06-30,1
"165",21,2016-02-19,0
"166",21,2015-01-14,1
"167",21,2016-02-19,0
"168",21,2015-12-21,0
"169",21,2015-07-07,0
"170",21,2015-07-07,0
"171",21,2015-12-21,0
"172",21,2015-01-14,0
"173",21,2015-07-07,0
"174",21,2015-12-21,0
"175",21,2016-02-19,0
"176",21,2015-06-30,2
"177",21,2015-01-14,0
"178",21,2016-02-19,0
"179",21,2015-07-07,0
"180",21,2015-01-14,0
"181",21,2015-12-21,0
"182",21,2016-02-19,0
"183",21,2015-12-21,0
"184",21,2015-01-14,0
