"Cluster","Date","total_caught"
14,2016-10-31,0
14,2016-12-13,0
14,2017-01-09,0
14,2017-01-23,0
14,2017-02-06,0
14,2017-02-21,0
14,2017-03-06,0
14,2017-04-03,0
14,2017-04-17,0
14,2017-05-02,0
14,2017-05-15,0
14,2017-06-12,0
14,2018-04-02,1
14,2018-11-13,0
14,2016-10-31,0
14,2016-11-15,0
14,2016-12-13,0
14,2017-11-27,0
14,2017-12-26,0
14,2016-10-31,0
14,2016-12-13,0
14,2017-06-26,0
14,2017-07-24,0
14,2017-08-21,0
14,2017-09-05,0
14,2017-10-16,0
14,2017-10-30,0
14,2017-11-13,0
14,2017-11-27,0
14,2017-12-11,0
14,2018-10-01,0
14,2017-01-09,0
14,2016-10-31,0
14,2016-11-15,0
14,2016-12-27,0
14,2017-02-21,1
14,2017-03-06,0
14,2017-03-20,0
14,2017-04-03,0
14,2016-12-13,0
14,2017-01-09,0
14,2017-02-21,0
14,2017-12-11,0
14,2016-10-31,0
14,2016-11-15,0
14,2016-12-27,0
14,2017-12-11,0
14,2016-12-13,0
14,2018-01-08,1
14,2018-02-05,0
14,2017-01-09,0
14,2016-12-13,0
14,2017-01-10,0
14,2017-01-23,1
14,2017-02-06,0
14,2017-02-21,0
14,2017-03-06,0
14,2017-03-20,0
14,2017-04-03,0
14,2017-04-17,0
14,2017-05-02,0
14,2017-05-15,0
14,2017-05-30,0
14,2017-06-12,0
14,2017-06-26,0
14,2017-07-10,0
14,2017-07-24,0
14,2017-08-07,0
14,2017-08-21,1
14,2017-09-05,0
14,2017-09-18,0
14,2017-10-02,1
14,2017-10-16,0
14,2017-10-30,1
14,2017-11-13,0
14,2017-11-27,0
14,2017-12-11,0
14,2017-12-26,1
14,2018-01-08,0
14,2018-01-22,0
14,2018-02-05,0
14,2018-02-20,1
14,2018-03-05,0
14,2018-03-19,0
14,2018-04-02,0
14,2018-04-16,0
14,2018-05-14,1
14,2018-05-29,0
14,2018-06-11,0
14,2018-06-25,0
14,2018-07-09,0
14,2018-07-23,0
14,2018-08-06,1
14,2018-08-20,0
14,2018-09-04,0
14,2018-09-17,0
14,2018-10-01,0
14,2018-10-15,0
14,2018-10-29,0
14,2018-11-13,0
14,2018-11-26,0
14,2018-12-10,0
14,2018-12-27,1
14,2019-01-08,0
14,2016-10-31,0
14,2017-01-23,0
14,2017-02-06,0
14,2017-02-21,0
14,2017-03-06,0
14,2016-12-27,0
14,2017-01-09,0
14,2018-10-01,0
14,2018-04-02,0
14,2018-04-16,0
14,2018-04-30,1
14,2018-05-14,1
14,2018-05-29,0
14,2018-06-11,0
