"cluster_trt","total_full","total_half","total_empty","total_evaluated","Cluster"
"T",102,23,113,238,1
"T",61,23,72,156,2
"T",61,31,108,200,3
"C",19,7,43,69,4
"C",37,22,68,127,5
"C",26,8,59,93,6
"T",113,13,104,230,7
"T",57,14,41,112,8
"C",107,28,97,232,9
"C",47,8,32,87,10
"T",96,19,86,201,11
"T",26,1,21,48,12
"T",32,11,28,71,13
"C",27,6,21,54,14
"C",43,16,49,108,15
"T",64,16,63,143,16
"T",21,10,31,62,17
"C",59,28,69,156,18
"C",64,17,76,157,19
"C",52,19,84,155,20
"T",76,20,60,156,21
"C",13,8,26,47,22
"C",84,27,88,199,23
"C",70,18,147,235,24
"T",88,13,89,190,25
"T",27,6,36,69,26
