"cluster_trt","total_full","total_half","total_empty","total_evaluated","Cluster"
"T",503,69,325,897,1
"T",513,81,358,952,2
"T",297,47,250,594,3
"C",878,118,555,1551,4
"C",614,47,368,1029,5
"C",381,52,207,640,6
"T",703,102,454,1259,7
"T",352,74,304,730,8
"C",773,78,532,1383,9
"C",465,40,249,754,10
"T",386,35,283,704,11
"T",268,48,180,496,12
"T",513,34,274,821,13
"C",273,42,200,515,14
"C",331,31,253,615,15
"T",480,34,248,762,16
"T",427,67,310,804,17
"C",810,72,485,1367,18
"C",661,110,415,1186,19
"C",505,75,388,968,20
"T",472,66,391,929,21
"C",536,78,381,995,22
"C",597,83,369,1049,23
"C",531,47,249,827,24
"T",565,69,320,954,25
"T",319,33,254,606,26
