"cluster_number","cluster_trt","nulliparous","parous","total_caught","Cluster"
4.1,"T",21,57,78,1
4.2,"T",5,24,29,2
6.1,"T",9,61,70,3
6.2,"C",9,21,30,4
7.1,"C",4,19,23,5
7.2,"C",23,17,40,6
8.1,"T",18,48,66,7
8.2,"T",2,18,20,8
9.1,"C",14,46,60,9
9.2,"C",2,18,20,10
10.1,"T",13,66,79,11
10.2,"T",0,10,10,12
11.1,"T",5,12,17,13
11.2,"C",3,7,10,14
13.1,"C",4,24,28,15
13.2,"T",6,36,42,16
14.1,"T",6,8,14,17
14.2,"C",9,32,41,18
15.1,"C",14,39,53,19
15.2,"C",8,34,42,20
16.1,"T",14,23,37,21
16.2,"C",4,13,17,22
17.1,"C",8,27,35,23
17.2,"C",60,29,89,24
18.1,"T",15,42,57,25
18.2,"T",9,11,20,26
