"cluster_number","cluster_trt","nulliparous","parous","total_caught","Cluster"
4.1,"T",60,255,315,1
4.2,"T",45,269,314,2
6.1,"T",46,153,199,3
6.2,"C",105,412,517,4
7.1,"C",82,248,330,5
7.2,"C",44,163,207,6
8.1,"T",99,338,437,7
8.2,"T",41,184,225,8
9.1,"C",123,359,482,9
9.2,"C",46,171,217,10
10.1,"T",59,178,237,11
10.2,"T",29,133,162,12
11.1,"T",64,191,255,13
11.2,"C",39,123,162,14
13.1,"C",44,126,170,15
13.2,"T",54,212,266,16
14.1,"T",57,223,280,17
14.2,"C",104,353,457,18
15.1,"C",73,251,324,19
15.2,"C",66,272,338,20
16.1,"T",69,234,303,21
16.2,"C",75,234,309,22
17.1,"C",76,246,322,23
17.2,"C",53,187,240,24
18.1,"T",45,250,295,25
18.2,"T",68,165,233,26
